row_id,season,year_start,region,crop,area_000ha,production_kt,yield_t_ha,split,expected_yield_t_ha,yield_shortfall,low_yield_shortfall_threshold,low_yield_risk,forecast_window,window_start_month,window_end_month,window_order,n_weather_days,lat,lon,rain_sum,rain_mean,rain_days,dry_days,max_3day_rain,max_7day_rain,max_consecutive_dry_days,heavy_rain_days_10,heavy_rain_days_25,tmax_mean,tmax_max,tmin_mean,tmin_min,heat_days_25,heat_days_30,heat_days_35,heat_degree_days_30,frost_days_0,cold_days_5,radiation_sum,radiation_mean,evap_sum,evap_mean,vp_mean,vp_min,vp_max,hot_dry_days_30_rain_lt_1,high_evap_dry_days,heat_and_low_rain_days,soil_lat,soil_lon,soil_awc_topsoil_0_30,soil_awc_subsoil_30_100,soil_bulk_density_topsoil_0_30,soil_bulk_density_subsoil_30_100,soil_clay_topsoil_0_30,soil_clay_subsoil_30_100,soil_sand_topsoil_0_30,soil_sand_subsoil_30_100,soil_silt_topsoil_0_30,soil_silt_subsoil_30_100,soil_soc_topsoil_0_30,soil_soc_subsoil_30_100,soil_total_n_topsoil_0_30,soil_total_n_subsoil_30_100,soil_total_p_topsoil_0_30,soil_total_p_subsoil_30_100,soil_phc_topsoil_0_30,soil_phc_subsoil_30_100,soil_ecec_topsoil_0_30,soil_ecec_subsoil_30_100,soil_depth_of_soil,soil_depth_of_regolith,panel_key
1,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Jun
2,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Jul
3,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Aug
4,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915031,9.762091503267971,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Sep
5,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391304,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956525,359.4,1.9532608695652167,9.900543478260868,5.6,17.9,0,6,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Oct
6,1989-90,1989,New South Wales,Canola,32.67,55.062,1.6853994490358124,train,1.5632557519046273,-0.12214369713118511,0.23538168855564479,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Canola | 1989 | May-Jun
7,1989-90,1989,New South Wales,Canola,32.67,55.062,1.6853994490358124,train,1.5632557519046273,-0.12214369713118511,0.23538168855564479,0,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Canola | 1989 | May-Jul
8,1989-90,1989,New South Wales,Canola,32.67,55.062,1.6853994490358124,train,1.5632557519046273,-0.12214369713118511,0.23538168855564479,0,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Canola | 1989 | May-Aug
9,1989-90,1989,New South Wales,Canola,32.67,55.062,1.6853994490358124,train,1.5632557519046273,-0.12214369713118511,0.23538168855564479,0,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915031,9.762091503267971,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Canola | 1989 | May-Sep
10,1989-90,1989,New South Wales,Canola,32.67,55.062,1.6853994490358124,train,1.5632557519046273,-0.12214369713118511,0.23538168855564479,0,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391304,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956525,359.4,1.9532608695652167,9.900543478260868,5.6,17.9,0,6,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Canola | 1989 | May-Oct
11,1989-90,1989,New South Wales,Lupins,46.267,65.52,1.4161281258780554,train,1.3510743647072374,-0.06505376117081796,0.2969567573004563,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Lupins | 1989 | May-Jun
