region,year_start,forecast_window,window_start_month,window_end_month,window_order,n_weather_days,lat,lon,rain_sum,rain_mean,rain_days,dry_days,max_3day_rain,max_7day_rain,max_consecutive_dry_days,heavy_rain_days_10,heavy_rain_days_25,tmax_mean,tmax_max,tmin_mean,tmin_min,heat_days_25,heat_days_30,heat_days_35,heat_degree_days_30,frost_days_0,cold_days_5,radiation_sum,radiation_mean,evap_sum,evap_mean,vp_mean,vp_min,vp_max,hot_dry_days_30_rain_lt_1,high_evap_dry_days,heat_and_low_rain_days
New South Wales,1989,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.40000000000003,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868853,5.6,17.9,0,0,0
New South Wales,1989,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0
New South Wales,1989,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0
New South Wales,1989,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915033,9.762091503267973,5.6,17.9,0,0,0
New South Wales,1989,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391303,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956523,359.4,1.9532608695652172,9.900543478260868,5.6,17.9,0,6,0
New South Wales,1990,May-Jun,5,6,1,61,-34.5,147.5,150.40000000000003,2.4655737704918037,13,48,53.5,63.7,16,5,1,15.388524590163936,23.7,5.137704918032787,-2.6,0,0,0,0.0,4,27,567.8,9.308196721311475,79.0,1.2950819672131149,10.18688524590164,6.5,16.7,0,0,0
New South Wales,1990,May-Jul,5,7,2,92,-34.5,147.5,223.60000000000002,2.430434782608696,24,68,53.5,63.7,16,7,1,14.356521739130434,23.7,4.801086956521739,-2.6,0,0,0,0.0,6,46,790.6,8.593478260869565,110.6,1.202173913043478,9.895652173913044,6.5,16.7,0,0,0
New South Wales,1990,May-Aug,5,8,3,123,-34.5,147.5,313.4,2.5479674796747966,39,84,53.5,63.7,16,10,1,13.970731707317071,23.7,4.657723577235772,-2.6,0,0,0,0.0,9,64,1111.7000000000003,9.038211382113824,156.99999999999997,1.276422764227642,9.663414634146338,6.1,16.7,0,0,0
New South Wales,1990,May-Sep,5,9,4,153,-34.5,147.5,377.2,2.465359477124183,45,108,53.5,63.7,16,12,2,14.644444444444447,24.6,4.845751633986928,-2.6,0,0,0,0.0,9,80,1620.3,10.590196078431372,235.3,1.5379084967320262,9.800653594771243,6.1,16.7,0,0,0
New South Wales,1990,May-Oct,5,10,5,184,-34.5,147.5,436.8,2.373913043478261,51,133,53.5,63.7,16,14,3,15.892934782608696,34.9,5.3125,-2.6,7,4,0,11.799999999999994,9,89,2299.0,12.494565217391305,363.09999999999997,1.973369565217391,10.101086956521739,6.1,16.7,4,7,4
