region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,0.0,5.0,1.3657430410385132,1.159313678741455,1.5721722841262817
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,5.0,15.0,1.4350780248641968,1.2458209991455078,1.624334692955017
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,15.0,30.0,1.4837241172790527,1.2872042655944824,1.6802440881729126
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,30.0,60.0,1.4695667028427124,1.3010313510894775,1.6381020545959473
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,60.0,100.0,1.4995465278625488,1.321164608001709,1.6779284477233887
New South Wales,-34.5,146.5,BULK-DENSITY,g/cm3,100.0,200.0,1.5355749130249023,1.369470238685608,1.7016797065734863
New South Wales,-34.5,146.5,CLAY,%,0.0,5.0,16.67460060119629,1.8173637390136719,31.531837463378906
New South Wales,-34.5,146.5,CLAY,%,5.0,15.0,18.458189010620117,2.704578399658203,34.21179962158203
New South Wales,-34.5,146.5,CLAY,%,15.0,30.0,23.792634963989258,6.937191009521484,40.64807891845703
New South Wales,-34.5,146.5,CLAY,%,30.0,60.0,29.848644256591797,12.24970817565918,47.44758224487305
New South Wales,-34.5,146.5,CLAY,%,60.0,100.0,31.55117416381836,14.54617691040039,48.55617141723633
New South Wales,-34.5,146.5,CLAY,%,100.0,200.0,30.64205551147461,12.657278060913086,48.6268310546875
New South Wales,-34.5,146.5,SAND,%,0.0,5.0,65.34877014160156,47.19158935546875,83.50595092773438
New South Wales,-34.5,146.5,SAND,%,5.0,15.0,63.435638427734375,44.783512115478516,82.0877685546875
New South Wales,-34.5,146.5,SAND,%,15.0,30.0,58.51414108276367,39.33494186401367,77.69334411621094
New South Wales,-34.5,146.5,SAND,%,30.0,60.0,51.59326934814453,32.08076477050781,71.10577392578125
New South Wales,-34.5,146.5,SAND,%,60.0,100.0,48.64720916748047,28.30548858642578,68.98892974853516
New South Wales,-34.5,146.5,SAND,%,100.0,200.0,50.525596618652344,30.122955322265625,70.92823791503906
New South Wales,-34.5,146.5,SILT,%,0.0,5.0,8.485546112060547,3.0294249057769775,16.69104766845703
New South Wales,-34.5,146.5,SILT,%,5.0,15.0,8.433341026306152,3.115187644958496,16.346282958984375
New South Wales,-34.5,146.5,SILT,%,15.0,30.0,8.097210884094238,2.9371938705444336,15.818878173828125
New South Wales,-34.5,146.5,SILT,%,30.0,60.0,7.6528401374816895,2.7097530364990234,15.105820655822754
New South Wales,-34.5,146.5,SILT,%,60.0,100.0,7.663317680358887,2.5991427898406982,15.400552749633789
New South Wales,-34.5,146.5,SILT,%,100.0,200.0,8.047202110290527,2.6805670261383057,16.29151153564453
New South Wales,-34.5,146.5,TOTAL_N,%,0.0,5.0,0.15104837715625763,0.038143571466207504,0.574355959892273
New South Wales,-34.5,146.5,TOTAL_N,%,5.0,15.0,0.12226471304893494,0.028259027749300003,0.5177045464515686
New South Wales,-34.5,146.5,TOTAL_N,%,15.0,30.0,0.07591914385557175,0.018363121896982193,0.2985345423221588
New South Wales,-34.5,146.5,TOTAL_N,%,30.0,60.0,0.0472305566072464,0.011900588870048523,0.18518689274787903
New South Wales,-34.5,146.5,TOTAL_N,%,60.0,100.0,0.03578843176364899,0.009485788643360138,0.13369497656822205
New South Wales,-34.5,146.5,TOTAL_N,%,100.0,200.0,0.029413720592856407,0.00786788109689951,0.11300837993621826
New South Wales,-34.5,146.5,TOTAL_P,%,0.0,5.0,0.029453009366989136,0.010903009213507175,0.06185301020741463
New South Wales,-34.5,146.5,TOTAL_P,%,5.0,15.0,0.02675849199295044,0.006227297242730856,0.10993213206529617
New South Wales,-34.5,146.5,TOTAL_P,%,15.0,30.0,0.023056719452142715,0.005445122718811035,0.09295651316642761
New South Wales,-34.5,146.5,TOTAL_P,%,30.0,60.0,0.021915452554821968,0.005234881769865751,0.09056123346090317
New South Wales,-34.5,146.5,TOTAL_P,%,60.0,100.0,0.02159453183412552,0.0050969198346138,0.08793377131223679
New South Wales,-34.5,146.5,TOTAL_P,%,100.0,200.0,0.018326615914702415,0.0042932177893817425,0.07567793875932693
New South Wales,-34.5,146.5,ECEC,meq/100g,0.0,5.0,8.317883491516113,1.6464207172393799,51.43792724609375
New South Wales,-34.5,146.5,ECEC,meq/100g,5.0,15.0,8.05073356628418,1.560267686843872,50.43417739868164
New South Wales,-34.5,146.5,ECEC,meq/100g,15.0,30.0,7.702480316162109,1.3998562097549438,50.97980499267578
New South Wales,-34.5,146.5,ECEC,meq/100g,30.0,60.0,7.866857051849365,1.3921855688095093,53.672176361083984
New South Wales,-34.5,146.5,ECEC,meq/100g,60.0,100.0,8.046463966369629,1.4152499437332153,57.058048248291016
New South Wales,-34.5,146.5,ECEC,meq/100g,100.0,200.0,7.969909191131592,1.257240653038025,61.133155822753906
New South Wales,-34.5,146.5,AWC,%,0.0,5.0,11.946532249450684,4.30743408203125,19.585630416870117
