season,year_start,region,crop,area_000ha,production_kt,yield_t_ha
1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927
1990-91,1990,New South Wales,Barley,463.3,822.5,1.7753075760846104
1991-92,1991,New South Wales,Barley,517.5,748.7,1.4467632850241547
1992-93,1992,New South Wales,Barley,559.7,1043.8,1.8649276398070394
1993-94,1993,New South Wales,Barley,622.979,1356.962,2.1781825711621097
1994-95,1994,New South Wales,Barley,409.785,291.499,0.7113461937357395
1995-96,1995,New South Wales,Barley,593.172,1073.647,1.8100095756374204
1996-97,1996,New South Wales,Barley,668.179,1483.044,2.2195309939402468
1997-98,1997,New South Wales,Barley,701.078,1364.66,1.9465166500731732
1998-99,1998,New South Wales,Barley,637.989,1247.372,1.955162236339498
1999-00,1999,New South Wales,Barley,475.924,1040.305,2.185863709331742
2000-01,2000,New South Wales,Barley,615.448,1253.309,2.036417374010477
2001-02,2001,New South Wales,Barley,664.707,1382.297,2.0795583618045246
2002-03,2002,New South Wales,Barley,636.362,427.993,0.6725621580169778
2003-04,2003,New South Wales,Barley,951.032,1955.188,2.0558593191396293
2004-05,2004,New South Wales,Barley,1023.121,1760.708,1.7209186401217453
2005-06,2005,New South Wales,Barley,1103.066,2336.404,2.118099914239039
2006-07,2006,New South Wales,Barley,901.737,753.014,0.8350705360875732
2007-08,2007,New South Wales,Barley,1048.959,814.344,0.776335395377703
2008-09,2008,New South Wales,Barley,977.475,1449.399,1.482799048569017
2009-10,2009,New South Wales,Barley,950.728,1236.248,1.300317230585404
2010-11,2010,New South Wales,Barley,878.015,2193.564,2.4983217826574715
2011-12,2011,New South Wales,Barley,672.872,1425.036,2.1178411347180446
2012-13,2012,New South Wales,Barley,618.937,1286.325,2.0782809882104316
2013-14,2013,New South Wales,Barley,715.248,1485.537,2.076953727937722
2014-15,2014,New South Wales,Barley,882.347,1868.86,2.1180555949076725
2015-16,2015,New South Wales,Barley,966.18,2527.655,2.616132604690638
2016-17,2016,New South Wales,Barley,1056.379,2832.124,2.680973400645034
2017-18,2017,New South Wales,Barley,763.47,1304.643,1.7088333529804707
2018-19,2018,New South Wales,Barley,667.931,909.089,1.3610522643806022
