region,crop,year_start,split
New South Wales,Barley,2017,test
New South Wales,Barley,2018,test
New South Wales,Barley,2019,test
New South Wales,Barley,2020,test
New South Wales,Barley,2021,test
New South Wales,Canola,2017,test
New South Wales,Canola,2018,test
New South Wales,Canola,2019,test
New South Wales,Canola,2020,test
New South Wales,Canola,2021,test
New South Wales,Lupins,2017,test
New South Wales,Lupins,2018,test
New South Wales,Lupins,2019,test
New South Wales,Lupins,2020,test
New South Wales,Lupins,2021,test
New South Wales,Oats,2017,test
New South Wales,Oats,2018,test
New South Wales,Oats,2019,test
New South Wales,Oats,2020,test
New South Wales,Oats,2021,test
New South Wales,Wheat,2017,test
New South Wales,Wheat,2018,test
New South Wales,Wheat,2019,test
New South Wales,Wheat,2020,test
New South Wales,Wheat,2021,test
Queensland,Barley,2017,test
Queensland,Barley,2018,test
Queensland,Barley,2019,test
Queensland,Barley,2020,test
Queensland,Barley,2021,test
Queensland,Canola,2017,test
Queensland,Canola,2018,test
Queensland,Canola,2019,test
Queensland,Canola,2020,test
Queensland,Canola,2021,test
Queensland,Lupins,2017,test
Queensland,Lupins,2018,test
Queensland,Lupins,2019,test
Queensland,Lupins,2020,test
Queensland,Lupins,2021,test
Queensland,Oats,2017,test
Queensland,Oats,2018,test
Queensland,Oats,2019,test
Queensland,Oats,2020,test
Queensland,Oats,2021,test
Queensland,Wheat,2017,test
Queensland,Wheat,2018,test
Queensland,Wheat,2019,test
Queensland,Wheat,2020,test
Queensland,Wheat,2021,test
South Australia,Barley,2017,test
South Australia,Barley,2018,test
South Australia,Barley,2019,test
South Australia,Barley,2020,test
South Australia,Barley,2021,test
South Australia,Canola,2017,test
South Australia,Canola,2018,test
South Australia,Canola,2019,test
South Australia,Canola,2020,test
South Australia,Canola,2021,test
South Australia,Lupins,2017,test
South Australia,Lupins,2018,test
South Australia,Lupins,2019,test
South Australia,Lupins,2020,test
South Australia,Lupins,2021,test
South Australia,Oats,2017,test
South Australia,Oats,2018,test
South Australia,Oats,2019,test
South Australia,Oats,2020,test
South Australia,Oats,2021,test
South Australia,Wheat,2017,test
South Australia,Wheat,2018,test
South Australia,Wheat,2019,test
South Australia,Wheat,2020,test
South Australia,Wheat,2021,test
Tasmania,Barley,2017,test
Tasmania,Barley,2018,test
Tasmania,Barley,2019,test
Tasmania,Barley,2020,test
Tasmania,Barley,2021,test
Tasmania,Canola,2017,test
Tasmania,Canola,2018,test
Tasmania,Canola,2019,test
Tasmania,Canola,2020,test
Tasmania,Canola,2021,test
Tasmania,Lupins,2017,test
Tasmania,Lupins,2018,test
Tasmania,Lupins,2019,test
Tasmania,Lupins,2020,test
Tasmania,Oats,2017,test
Tasmania,Oats,2018,test
Tasmania,Oats,2019,test
Tasmania,Oats,2020,test
Tasmania,Oats,2021,test
Tasmania,Wheat,2017,test
Tasmania,Wheat,2018,test
Tasmania,Wheat,2019,test
Tasmania,Wheat,2020,test
Tasmania,Wheat,2021,test
Victoria,Barley,2017,test
Victoria,Barley,2018,test
Victoria,Barley,2019,test
Victoria,Barley,2020,test
Victoria,Barley,2021,test
Victoria,Canola,2017,test
Victoria,Canola,2018,test
Victoria,Canola,2019,test
Victoria,Canola,2020,test
Victoria,Canola,2021,test
Victoria,Lupins,2017,test
Victoria,Lupins,2018,test
Victoria,Lupins,2019,test
Victoria,Lupins,2020,test
Victoria,Lupins,2021,test
Victoria,Oats,2017,test
Victoria,Oats,2018,test
Victoria,Oats,2019,test
Victoria,Oats,2020,test
Victoria,Oats,2021,test
Victoria,Wheat,2017,test
Victoria,Wheat,2018,test
Victoria,Wheat,2019,test
Victoria,Wheat,2020,test
Victoria,Wheat,2021,test
Western Australia,Barley,2017,test
Western Australia,Barley,2018,test
Western Australia,Barley,2019,test
Western Australia,Barley,2020,test
Western Australia,Barley,2021,test
Western Australia,Canola,2017,test
Western Australia,Canola,2018,test
Western Australia,Canola,2019,test
Western Australia,Canola,2020,test
Western Australia,Canola,2021,test
Western Australia,Lupins,2017,test
Western Australia,Lupins,2018,test
Western Australia,Lupins,2019,test
Western Australia,Lupins,2020,test
Western Australia,Lupins,2021,test
Western Australia,Oats,2017,test
Western Australia,Oats,2018,test
Western Australia,Oats,2019,test
Western Australia,Oats,2020,test
Western Australia,Oats,2021,test
Western Australia,Wheat,2017,test
Western Australia,Wheat,2018,test
Western Australia,Wheat,2019,test
Western Australia,Wheat,2020,test
Western Australia,Wheat,2021,test
New South Wales,Barley,1989,train
New South Wales,Barley,1990,train
New South Wales,Barley,1991,train
New South Wales,Barley,1992,train
New South Wales,Barley,1993,train
New South Wales,Barley,1994,train
New South Wales,Barley,1995,train
New South Wales,Barley,1996,train
New South Wales,Barley,1997,train
New South Wales,Barley,1998,train
New South Wales,Barley,1999,train
New South Wales,Barley,2000,train
New South Wales,Barley,2001,train
New South Wales,Barley,2002,train
New South Wales,Barley,2003,train
New South Wales,Barley,2004,train
New South Wales,Barley,2005,train
New South Wales,Barley,2006,train
New South Wales,Barley,2007,train
New South Wales,Barley,2008,train
New South Wales,Barley,2009,train
New South Wales,Barley,2010,train
New South Wales,Barley,2011,train
New South Wales,Barley,2012,train
New South Wales,Canola,1989,train
New South Wales,Canola,1990,train
New South Wales,Canola,1991,train
New South Wales,Canola,1992,train
New South Wales,Canola,1993,train
New South Wales,Canola,1994,train
New South Wales,Canola,1995,train
New South Wales,Canola,1996,train
New South Wales,Canola,1997,train
New South Wales,Canola,1998,train
New South Wales,Canola,1999,train
New South Wales,Canola,2000,train
New South Wales,Canola,2001,train
New South Wales,Canola,2002,train
New South Wales,Canola,2003,train
New South Wales,Canola,2004,train
New South Wales,Canola,2005,train
New South Wales,Canola,2006,train
New South Wales,Canola,2007,train
New South Wales,Canola,2008,train
New South Wales,Canola,2009,train
New South Wales,Canola,2010,train
New South Wales,Canola,2011,train
New South Wales,Canola,2012,train
New South Wales,Lupins,1989,train
New South Wales,Lupins,1990,train
New South Wales,Lupins,1991,train
New South Wales,Lupins,1992,train
New South Wales,Lupins,1993,train
New South Wales,Lupins,1994,train
New South Wales,Lupins,1995,train
New South Wales,Lupins,1996,train
New South Wales,Lupins,1997,train
New South Wales,Lupins,1998,train
New South Wales,Lupins,1999,train
New South Wales,Lupins,2000,train
New South Wales,Lupins,2001,train
New South Wales,Lupins,2002,train
New South Wales,Lupins,2003,train
New South Wales,Lupins,2004,train
New South Wales,Lupins,2005,train
New South Wales,Lupins,2006,train
New South Wales,Lupins,2007,train
New South Wales,Lupins,2008,train
New South Wales,Lupins,2009,train
New South Wales,Lupins,2010,train
New South Wales,Lupins,2011,train
New South Wales,Lupins,2012,train
New South Wales,Oats,1989,train
New South Wales,Oats,1990,train
New South Wales,Oats,1991,train
New South Wales,Oats,1992,train
New South Wales,Oats,1993,train
New South Wales,Oats,1994,train
New South Wales,Oats,1995,train
New South Wales,Oats,1996,train
New South Wales,Oats,1997,train
New South Wales,Oats,1998,train
New South Wales,Oats,1999,train
New South Wales,Oats,2000,train
New South Wales,Oats,2001,train
New South Wales,Oats,2002,train
New South Wales,Oats,2003,train
New South Wales,Oats,2004,train
New South Wales,Oats,2005,train
New South Wales,Oats,2006,train
New South Wales,Oats,2007,train
New South Wales,Oats,2008,train
New South Wales,Oats,2009,train
New South Wales,Oats,2010,train
New South Wales,Oats,2011,train
New South Wales,Oats,2012,train
New South Wales,Wheat,1989,train
New South Wales,Wheat,1990,train
New South Wales,Wheat,1991,train
New South Wales,Wheat,1992,train
New South Wales,Wheat,1993,train
New South Wales,Wheat,1994,train
New South Wales,Wheat,1995,train
New South Wales,Wheat,1996,train
New South Wales,Wheat,1997,train
New South Wales,Wheat,1998,train
New South Wales,Wheat,1999,train
New South Wales,Wheat,2000,train
New South Wales,Wheat,2001,train
New South Wales,Wheat,2002,train
New South Wales,Wheat,2003,train
New South Wales,Wheat,2004,train
New South Wales,Wheat,2005,train
New South Wales,Wheat,2006,train
