model,feature_regime,forecast_window,metric,estimate,ci_low,ci_high,n_bootstrap,seed
DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Jun,RMSE,1.1399998454043634,0.909676169940869,1.3923130832519366,300,42
DailyWeather-GRU,daily_weather_sequence_operational,May-Jun,RMSE,0.7840867991082152,0.6639244890739736,0.9096096054184446,300,42
XGBoost,no_yield_history_weather_soil,May-Jun,RMSE,0.9142891311832305,0.7524163910878373,1.0973992668879315,300,42
HistGradientBoosting,no_yield_history_weather_soil,May-Jun,RMSE,0.9165125605168924,0.7408877463162119,1.087311081432773,300,42
ElasticNet,operational_with_yield_history,May-Jun,RMSE,0.7190433408179682,0.5716563276945955,0.8525072624694155,300,42
Ridge,operational_with_yield_history,May-Jun,RMSE,0.7421023557993057,0.6096751427112396,0.8946245975003776,300,42
3-year rolling mean,past_only_yield_history,May-Jun,RMSE,0.7787277884848315,0.6644882469315225,0.9140294484529313,300,42
Previous-year yield,past_only_yield_history,May-Jun,RMSE,0.7843785098292825,0.6341167369735683,0.926611197684635,300,42
DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Oct,RMSE,1.020361960177626,0.8056771353493106,1.2145459537259835,300,42
DailyWeather-GRU,daily_weather_sequence_operational,May-Oct,RMSE,0.7184001236892118,0.5966567686254693,0.8411714256008384,300,42
SVR-RBF,no_yield_history_weather_soil,May-Oct,RMSE,0.8212375066026472,0.6387518347211685,0.9780703199893992,300,42
XGBoost,no_yield_history_weather_soil,May-Oct,RMSE,0.8879149052547473,0.6795604586688186,1.0713453115500702,300,42
Ridge,operational_with_yield_history,May-Oct,RMSE,0.6603784081843912,0.49745207158857574,0.819689984704931,300,42
ElasticNet,operational_with_yield_history,May-Oct,RMSE,0.6710371641134681,0.5103570028287036,0.835779189427812,300,42
3-year rolling mean,past_only_yield_history,May-Oct,RMSE,0.7787277884848315,0.664783891546762,0.9068423685126785,300,42
Previous-year yield,past_only_yield_history,May-Oct,RMSE,0.7843785098292825,0.6411410092891875,0.9416155425224096,300,42
