forecast_window,model,threshold,validation_precision,validation_recall,validation_f1,validation_positive_rate
May-Jun,LogisticRegression,0.01,0.16455696202531644,1.0,0.2826086956521739,0.6810344827586207
May-Jun,LogisticRegression,0.02,0.16455696202531644,1.0,0.2826086956521739,0.6810344827586207
May-Jun,LogisticRegression,0.03,0.16455696202531644,1.0,0.2826086956521739,0.6810344827586207
May-Jun,LogisticRegression,0.04,0.16455696202531644,1.0,0.2826086956521739,0.6810344827586207
May-Jun,LogisticRegression,0.05,0.16455696202531644,1.0,0.2826086956521739,0.6810344827586207
May-Jun,LogisticRegression,0.06,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.07,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.08,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.09,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.1,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.11,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.12,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.13,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.14,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.15,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.16,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.17,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.18,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.19,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.2,0.25,0.8461538461538461,0.38596491228070173,0.3793103448275862
May-Jun,LogisticRegression,0.21,0.2647058823529412,0.6923076923076923,0.3829787234042553,0.29310344827586204
May-Jun,LogisticRegression,0.22,0.2647058823529412,0.6923076923076923,0.3829787234042553,0.29310344827586204
May-Jun,LogisticRegression,0.23,0.2647058823529412,0.6923076923076923,0.3829787234042553,0.29310344827586204
May-Jun,LogisticRegression,0.24,0.2647058823529412,0.6923076923076923,0.3829787234042553,0.29310344827586204
May-Jun,LogisticRegression,0.25,0.2647058823529412,0.6923076923076923,0.3829787234042553,0.29310344827586204
May-Jun,LogisticRegression,0.26,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.27,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.28,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.29,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.3,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.31,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.32,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.33,0.3333333333333333,0.07692307692307693,0.125,0.02586206896551724
May-Jun,LogisticRegression,0.34,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.35,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.36,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.37,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.38,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.39,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.4,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.41,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.42,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.43,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.44,0.0,0.0,0.0,0.0
May-Jun,LogisticRegression,0.45,0.0,0.0,0.0,0.0
