forecast_window,target,task,model,metric,value,n_test
May-Jun,yield_t_ha,regression,HistoricalMean,MAE,0.6832091978473597,149
May-Jun,yield_t_ha,regression,HistoricalMean,RMSE,0.9614447123179034,149
May-Jun,yield_t_ha,regression,HistoricalMean,R2,0.4230688859871726,149
May-Jun,yield_t_ha,regression,Ridge,MAE,0.6615934001627101,149
May-Jun,yield_t_ha,regression,Ridge,RMSE,0.9785795173668903,149
May-Jun,yield_t_ha,regression,Ridge,R2,0.4023215828577906,149
May-Jun,yield_t_ha,regression,ElasticNet,MAE,0.655721146435902,149
May-Jun,yield_t_ha,regression,ElasticNet,RMSE,0.9723539850910518,149
May-Jun,yield_t_ha,regression,ElasticNet,R2,0.40990202061972536,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,MAE,0.6624542446138844,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,RMSE,0.9299037858624375,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,R2,0.4603013120137047,149
May-Jun,yield_shortfall,regression,HistoricalMean,MAE,0.613296683056354,149
May-Jun,yield_shortfall,regression,HistoricalMean,RMSE,0.8233386254350032,149
May-Jun,yield_shortfall,regression,HistoricalMean,R2,-0.2258690386207014,149
May-Jun,yield_shortfall,regression,Ridge,MAE,0.5714394711559427,149
May-Jun,yield_shortfall,regression,Ridge,RMSE,0.7817485967615735,149
May-Jun,yield_shortfall,regression,Ridge,R2,-0.10515022644786742,149
May-Jun,yield_shortfall,regression,ElasticNet,MAE,0.5764047399668577,149
May-Jun,yield_shortfall,regression,ElasticNet,RMSE,0.7837580314167185,149
May-Jun,yield_shortfall,regression,ElasticNet,R2,-0.11083896395705284,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,MAE,0.602720285669954,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,RMSE,0.7785481687224619,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,R2,-0.09611992244186163,149
