forecast_window,baseline,MAE,RMSE,R2,n_test,information_rule
May-Jun,Crop-region train mean,0.6832091978473597,0.9614447123179034,0.4230688859871726,149,train-only
May-Jun,Previous-year yield,0.5617534684052318,0.7843785098292825,0.6160039972090685,149,past-only chronological
May-Jun,3-year rolling past mean,0.6062282715919813,0.7787277884848316,0.6215167400633966,149,past-only chronological
May-Jun,Crop-region train trend,0.6132966830563498,0.8233386254349983,0.5769104383417027,149,train-only
May-Jul,Crop-region train mean,0.6832091978473597,0.9614447123179034,0.4230688859871726,149,train-only
May-Jul,Previous-year yield,0.5617534684052318,0.7843785098292825,0.6160039972090685,149,past-only chronological
May-Jul,3-year rolling past mean,0.6062282715919813,0.7787277884848316,0.6215167400633966,149,past-only chronological
May-Jul,Crop-region train trend,0.6132966830563498,0.8233386254349983,0.5769104383417027,149,train-only
May-Aug,Crop-region train mean,0.6832091978473597,0.9614447123179034,0.4230688859871726,149,train-only
May-Aug,Previous-year yield,0.5617534684052318,0.7843785098292825,0.6160039972090685,149,past-only chronological
May-Aug,3-year rolling past mean,0.6062282715919813,0.7787277884848316,0.6215167400633966,149,past-only chronological
May-Aug,Crop-region train trend,0.6132966830563498,0.8233386254349983,0.5769104383417027,149,train-only
May-Sep,Crop-region train mean,0.6832091978473597,0.9614447123179034,0.4230688859871726,149,train-only
May-Sep,Previous-year yield,0.5617534684052318,0.7843785098292825,0.6160039972090685,149,past-only chronological
May-Sep,3-year rolling past mean,0.6062282715919813,0.7787277884848316,0.6215167400633966,149,past-only chronological
May-Sep,Crop-region train trend,0.6132966830563498,0.8233386254349983,0.5769104383417027,149,train-only
May-Oct,Crop-region train mean,0.6832091978473597,0.9614447123179034,0.4230688859871726,149,train-only
May-Oct,Previous-year yield,0.5617534684052318,0.7843785098292825,0.6160039972090685,149,past-only chronological
May-Oct,3-year rolling past mean,0.6062282715919813,0.7787277884848316,0.6215167400633966,149,past-only chronological
May-Oct,Crop-region train trend,0.6132966830563498,0.8233386254349983,0.5769104383417027,149,train-only
