protocol,fold,forecast_window,feature_set,model,target,task,metric,value,n_test,threshold
time_split,primary,May-Jun,identity_time_only,Ridge,yield_t_ha,regression,MAE,0.6851650971839006,149,
time_split,primary,May-Jun,identity_time_only,Ridge,yield_t_ha,regression,RMSE,1.0054199027066462,149,
time_split,primary,May-Jun,identity_time_only,Ridge,yield_t_ha,regression,R2,0.36908582256124556,149,
time_split,primary,May-Jun,identity_time_only,ElasticNet,yield_t_ha,regression,MAE,0.6924388798821685,149,
time_split,primary,May-Jun,identity_time_only,ElasticNet,yield_t_ha,regression,RMSE,1.0219321904323593,149,
time_split,primary,May-Jun,identity_time_only,ElasticNet,yield_t_ha,regression,R2,0.3481922955940485,149,
time_split,primary,May-Jun,identity_time_only,LightGBM,yield_t_ha,regression,MAE,0.6273298807549812,149,
time_split,primary,May-Jun,identity_time_only,LightGBM,yield_t_ha,regression,RMSE,0.855534711152426,149,
time_split,primary,May-Jun,identity_time_only,LightGBM,yield_t_ha,regression,R2,0.543174224767377,149,
time_split,primary,May-Jun,identity_time_only,CatBoost,yield_t_ha,regression,MAE,0.6190362032817508,149,
time_split,primary,May-Jun,identity_time_only,CatBoost,yield_t_ha,regression,RMSE,0.8575701401396568,149,
time_split,primary,May-Jun,identity_time_only,CatBoost,yield_t_ha,regression,R2,0.5409979424631546,149,
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.3715846994535519,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,PR_AUC,0.14071824097400112,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,Brier,0.3968966032959179,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,F1,0.2814814814814815,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,Recall,0.7037037037037037,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,Precision,0.17592592592592593,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LogisticRegression,low_yield_risk,classification,Accuracy,0.348993288590604,149,0.6722042046397662
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.6259866423800851,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.32694083938669366,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,Brier,0.14654430860133158,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,F1,0.35294117647058826,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,Recall,0.3333333333333333,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,Precision,0.375,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.7785234899328859,149,0.2770245340368433
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.6032179720704312,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.2951264973101387,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,Brier,0.14450095798668458,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,F1,0.34210526315789475,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,Recall,0.48148148148148145,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,Precision,0.2653061224489796,149,0.18340352207154317
time_split,primary,May-Jun,identity_time_only,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.6644295302013423,149,0.18340352207154317
time_split,primary,May-Jun,weather_stage_only,Ridge,yield_t_ha,regression,MAE,0.6686017555369345,149,
time_split,primary,May-Jun,weather_stage_only,Ridge,yield_t_ha,regression,RMSE,0.9876434665611844,149,
time_split,primary,May-Jun,weather_stage_only,Ridge,yield_t_ha,regression,R2,0.39119849003139073,149,
time_split,primary,May-Jun,weather_stage_only,ElasticNet,yield_t_ha,regression,MAE,0.6694690891584629,149,
time_split,primary,May-Jun,weather_stage_only,ElasticNet,yield_t_ha,regression,RMSE,0.9958696434407485,149,
time_split,primary,May-Jun,weather_stage_only,ElasticNet,yield_t_ha,regression,R2,0.38101472314625584,149,
time_split,primary,May-Jun,weather_stage_only,LightGBM,yield_t_ha,regression,MAE,0.6485371344535367,149,
time_split,primary,May-Jun,weather_stage_only,LightGBM,yield_t_ha,regression,RMSE,0.9198502879656464,149,
time_split,primary,May-Jun,weather_stage_only,LightGBM,yield_t_ha,regression,R2,0.4719079520202275,149,
time_split,primary,May-Jun,weather_stage_only,CatBoost,yield_t_ha,regression,MAE,0.6583655455771643,149,
time_split,primary,May-Jun,weather_stage_only,CatBoost,yield_t_ha,regression,RMSE,0.9274617253786397,149,
time_split,primary,May-Jun,weather_stage_only,CatBoost,yield_t_ha,regression,R2,0.46313224196830316,149,
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.5919854280510017,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,PR_AUC,0.21493476524881314,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,Brier,0.2663942705403087,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,F1,0.2948717948717949,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,Recall,0.8518518518518519,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,Precision,0.17829457364341086,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LogisticRegression,low_yield_risk,classification,Accuracy,0.26174496644295303,149,0.14979125433877336
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.6536126290224651,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.2896586587405988,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,Brier,0.1600375211349386,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,F1,0.34234234234234234,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,Recall,0.7037037037037037,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,Precision,0.2261904761904762,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.5100671140939598,149,0.046599711251221976
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.4514268366727383,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.16716234157082277,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,Brier,0.17774491777695828,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,F1,0.24,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,Recall,0.5555555555555556,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,Precision,0.15306122448979592,149,0.13840364103675934
time_split,primary,May-Jun,weather_stage_only,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.3624161073825503,149,0.13840364103675934
time_split,primary,May-Jun,weather_plus_anomaly,Ridge,yield_t_ha,regression,MAE,0.6912144871329283,149,
time_split,primary,May-Jun,weather_plus_anomaly,Ridge,yield_t_ha,regression,RMSE,1.0125163372258046,149,
time_split,primary,May-Jun,weather_plus_anomaly,Ridge,yield_t_ha,regression,R2,0.3601481802448774,149,
time_split,primary,May-Jun,weather_plus_anomaly,ElasticNet,yield_t_ha,regression,MAE,0.6759352667416824,149,
time_split,primary,May-Jun,weather_plus_anomaly,ElasticNet,yield_t_ha,regression,RMSE,1.0038197575971348,149,
time_split,primary,May-Jun,weather_plus_anomaly,ElasticNet,yield_t_ha,regression,R2,0.37109244858952384,149,
time_split,primary,May-Jun,weather_plus_anomaly,LightGBM,yield_t_ha,regression,MAE,0.6724871437589642,149,
time_split,primary,May-Jun,weather_plus_anomaly,LightGBM,yield_t_ha,regression,RMSE,0.9309316764004447,149,
time_split,primary,May-Jun,weather_plus_anomaly,LightGBM,yield_t_ha,regression,R2,0.4591075158668775,149,
time_split,primary,May-Jun,weather_plus_anomaly,CatBoost,yield_t_ha,regression,MAE,0.686925462963359,149,
time_split,primary,May-Jun,weather_plus_anomaly,CatBoost,yield_t_ha,regression,RMSE,0.9544187900815205,149,
time_split,primary,May-Jun,weather_plus_anomaly,CatBoost,yield_t_ha,regression,R2,0.4314701229293312,149,
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.4647844565877353,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,PR_AUC,0.17030790429597464,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,Brier,0.3101215840491364,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,F1,0.2595419847328244,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,Recall,0.6296296296296297,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,Precision,0.16346153846153846,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LogisticRegression,low_yield_risk,classification,Accuracy,0.348993288590604,149,0.2786851276704423
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.5992714025500911,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.22451321201389196,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,Brier,0.18116793425192523,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,F1,0.3310344827586207,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,Recall,0.8888888888888888,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,Precision,0.2033898305084746,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.348993288590604,149,0.018607972744242276
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.517304189435337,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.17895549257332338,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,Brier,0.1884426691398764,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,F1,0.3076923076923077,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,Recall,0.9629629629629629,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,Precision,0.18309859154929578,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_anomaly,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.21476510067114093,149,0.048140928575268124
time_split,primary,May-Jun,weather_plus_soil,Ridge,yield_t_ha,regression,MAE,0.6615934001627108,149,
time_split,primary,May-Jun,weather_plus_soil,Ridge,yield_t_ha,regression,RMSE,0.9785795173668912,149,
time_split,primary,May-Jun,weather_plus_soil,Ridge,yield_t_ha,regression,R2,0.40232158285778963,149,
time_split,primary,May-Jun,weather_plus_soil,ElasticNet,yield_t_ha,regression,MAE,0.6557082257453715,149,
time_split,primary,May-Jun,weather_plus_soil,ElasticNet,yield_t_ha,regression,RMSE,0.9723157311887187,149,
time_split,primary,May-Jun,weather_plus_soil,ElasticNet,yield_t_ha,regression,R2,0.4099484504318659,149,
time_split,primary,May-Jun,weather_plus_soil,LightGBM,yield_t_ha,regression,MAE,0.6510489317328195,149,
time_split,primary,May-Jun,weather_plus_soil,LightGBM,yield_t_ha,regression,RMSE,0.9290746356085398,149,
time_split,primary,May-Jun,weather_plus_soil,LightGBM,yield_t_ha,regression,R2,0.4612633293918258,149,
time_split,primary,May-Jun,weather_plus_soil,CatBoost,yield_t_ha,regression,MAE,0.6623200206678131,149,
time_split,primary,May-Jun,weather_plus_soil,CatBoost,yield_t_ha,regression,RMSE,0.9127506002866078,149,
time_split,primary,May-Jun,weather_plus_soil,CatBoost,yield_t_ha,regression,R2,0.48002844635175235,149,
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.5959319975713419,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,PR_AUC,0.21847461641972538,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,Brier,0.26877603937934574,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,F1,0.2948717948717949,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,Recall,0.8518518518518519,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,Precision,0.17829457364341086,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LogisticRegression,low_yield_risk,classification,Accuracy,0.26174496644295303,149,0.14640500374480733
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.6153612629022465,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.24598142259140204,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Brier,0.1688736570187304,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,F1,0.3130434782608696,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Recall,0.6666666666666666,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Precision,0.20454545454545456,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.4697986577181208,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.5406800242865817,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.2096489543018203,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Brier,0.17239016276290373,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,F1,0.2247191011235955,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Recall,0.37037037037037035,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Precision,0.16129032258064516,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.5369127516778524,149,0.2144799500533655
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,MAE,0.6913431848359817,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,RMSE,1.0124951656655747,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,R2,0.360174938370574,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,MAE,0.6694966246758866,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,RMSE,0.9920565147996646,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,R2,0.38574576767979396,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,MAE,0.6584855637474262,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,RMSE,0.9213392432804131,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,R2,0.4701969304215309,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,MAE,0.6759573596454713,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,RMSE,0.9334599527908702,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,R2,0.4561655541020122,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.46083788706739526,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,PR_AUC,0.16923596991041345,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,Brier,0.31053912173996717,149,0.2869279596958399
