forecast_window,feature_set,model,MAE,R2,RMSE
May-Aug,full_operational,ElasticNet,0.523443604866299,0.6638366980318446,0.7339010096291269
May-Jul,full_operational,ElasticNet,0.5146227792386395,0.6927508065379347,0.7016292896596281
May-Jun,full_operational,ElasticNet,0.5448993400953628,0.675600500714467,0.7209454782432281
May-Oct,full_operational,Ridge,0.4236564868153168,0.7301075135523823,0.657593833293215
May-Sep,full_operational,ElasticNet,0.4781146305008212,0.6904791112590918,0.7042183161806282
May-Aug,weather_anomaly_soil_no_lag,LightGBM,0.6211426869933483,0.40663460697241394,0.9750422648289532
May-Jul,weather_anomaly_soil_no_lag,CatBoost,0.6689432539830402,0.42261861804555234,0.961819820617607
May-Jun,weather_anomaly_soil_no_lag,LightGBM,0.6584855637474262,0.4701969304215309,0.9213392432804131
May-Oct,weather_anomaly_soil_no_lag,Ridge,0.5362645525274213,0.5071056332109963,0.888667427208413
May-Sep,weather_anomaly_soil_no_lag,LightGBM,0.621128939100965,0.4411609657742742,0.9462495836271952
