forecast_window,experiment,model,metric,value,alpha,n_train,n_val,n_test
May-Jun,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Jun,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Jun,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,MAE,0.6876323092719085,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,RMSE,1.0095490850710667,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,R2,0.3638929488507431,-1.0,701,116,149
May-Jun,residual_paper_safe,Ridge,MAE,0.6833004914574627,0.2,701,116,149
May-Jun,residual_paper_safe,Ridge,RMSE,1.007067281492929,0.2,701,116,149
May-Jun,residual_paper_safe,Ridge,R2,0.36701662516527533,0.2,701,116,149
May-Jun,direct_paper_safe,ElasticNet,MAE,0.6622941702997313,-1.0,701,116,149
May-Jun,direct_paper_safe,ElasticNet,RMSE,0.9850193548089256,-1.0,701,116,149
May-Jun,direct_paper_safe,ElasticNet,R2,0.3944292933211643,-1.0,701,116,149
May-Jun,residual_paper_safe,ElasticNet,MAE,0.6757800882117427,0.4,701,116,149
May-Jun,residual_paper_safe,ElasticNet,RMSE,1.0009944538156619,0.4,701,116,149
May-Jun,residual_paper_safe,ElasticNet,R2,0.3746276536774116,0.4,701,116,149
May-Jun,direct_paper_safe,LightGBM,MAE,0.6658664227620039,-1.0,701,116,149
May-Jun,direct_paper_safe,LightGBM,RMSE,0.9324714718201944,-1.0,701,116,149
May-Jun,direct_paper_safe,LightGBM,R2,0.4573167237292506,-1.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,MAE,0.6865658977008069,0.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,RMSE,1.0091956976033263,0.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,R2,0.36433820291447006,0.0,701,116,149
May-Jul,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Jul,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Jul,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,MAE,0.6712223218832866,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,RMSE,0.9978205007421391,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,R2,0.3785872272972234,-1.0,701,116,149
May-Jul,residual_paper_safe,Ridge,MAE,0.6808217243179502,0.35000000000000003,701,116,149
May-Jul,residual_paper_safe,Ridge,RMSE,1.0111444500921927,0.35000000000000003,701,116,149
May-Jul,residual_paper_safe,Ridge,R2,0.36188091238081044,0.35000000000000003,701,116,149
May-Jul,direct_paper_safe,ElasticNet,MAE,0.6484630504549556,-1.0,701,116,149
