model_group,model,feature_regime,forecast_window,MAE,RMSE,R2,train_RMSE,validation_RMSE,n_train,n_val,n_test,selected_hyperparams,seed,runtime_seconds,status
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Jun,0.7760233879089355,1.1399998454043634,0.18888038396835327,0.6469672667080939,0.9093066658484681,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 67, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,8.202244899999641,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Jun,0.5894936323165894,0.7840867991082152,0.6162895560264587,0.4478959551909426,0.6283647563608561,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 145, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,14.13924489999772,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Jul,0.8041789531707764,1.1543347244382829,0.1683533787727356,0.7052399510367805,0.9208851365294907,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 50, ""dropout"": 0.2, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,10.43059589999757,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Jul,0.5312294960021973,0.7175371884135617,0.67866051197052,0.44025300874174783,0.5644694923219022,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,21.568030999995244,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Aug,0.6876606941223145,1.0423383200436394,0.3219015598297119,0.5207814254325528,0.813554666165389,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,19.331414699998277,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Aug,0.6322602033615112,0.8456585456075784,0.5536603927612305,0.5614980144550549,0.7336408313597134,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 66, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,13.411592500000552,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Sep,0.6306247711181641,0.9980184472620932,0.3783407211303711,0.49144191885403266,0.7680232962934422,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,23.70534670000052,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Sep,0.48784172534942627,0.7208369681279558,0.6756981611251831,0.35882567840280283,0.47947854451894606,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 152, ""dropout"": 0.2, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,35.63519809999707,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Oct,0.6737094521522522,1.020361960177626,0.3501938581466675,0.5006034904554896,0.845986933142842,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,41.097269400001096,ok
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Oct,0.5203911662101746,0.7184001236892118,0.6778870820999146,0.40869525283224717,0.5929892585434491,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,38.94736190000549,ok
