crop,region,rows
Barley,New South Wales,33
Barley,Queensland,33
Barley,South Australia,33
Barley,Tasmania,33
Barley,Victoria,33
Barley,Western Australia,33
Canola,New South Wales,33
Canola,Queensland,30
Canola,South Australia,33
Canola,Tasmania,33
Canola,Victoria,33
Canola,Western Australia,33
Lupins,New South Wales,33
Lupins,Queensland,24
Lupins,South Australia,33
Lupins,Tasmania,21
Lupins,Victoria,33
Lupins,Western Australia,33
Oats,New South Wales,33
Oats,Queensland,33
Oats,South Australia,33
Oats,Tasmania,33
Oats,Victoria,33
Oats,Western Australia,33
Wheat,New South Wales,33
Wheat,Queensland,33
Wheat,South Australia,33
Wheat,Tasmania,33
Wheat,Victoria,33
Wheat,Western Australia,33
